date,Oblast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,XSUM,parent district
2020-08-01,P01,5666,104,2587,1145,0,528,149,1750,11929,
2020-08-01,P02,9931,87,1411,192,0,211,64,2616,14512,
2020-08-01,P03,14203,126,885,191,0,143,0,3650,19199,
2020-08-01,P04,16480,215,1280,272,0,293,0,4906,23447,
2020-08-01,P05,9589,183,1036,96,0,192,0,2528,13625,
2020-08-01,P05.0,5595,22,185,19,0,192,0,1974,7988,P05
2020-08-01,P05.1,1458,73,513,36,0,0,0,166,2246,P05
2020-08-01,P05.2,1067,43,109,18,0,0,0,133,1370,P05
2020-08-01,P05.3,73,0,21,0,0,0,0,10,104,P05
2020-08-01,P05.4,971,34,185,23,0,0,0,138,1351,P05
2020-08-01,P05.5,377,11,21,0,0,0,0,98,507,P05
2020-08-01,P05.6,48,0,2,0,0,0,0,9,59,P05
2020-08-01,P06,20100,195,1351,111,0,255,1,6530,28547,
2020-08-01,P07,9090,84,653,101,0,91,0,2148,12167,
2020-08-01,P08,11373,110,801,174,0,181,7,4148,16794,
2020-08-01,P08.0,4698,7,111,25,0,181,6,2306,7334,P08
2020-08-01,P08.1,1153,19,342,50,0,0,0,134,1698,P08
2020-08-01,P08.2,1220,23,134,72,0,0,1,180,1630,P08
2020-08-01,P08.3,4302,61,214,27,0,0,0,1528,6132,P08
2020-08-01,P09,2971,42,267,39,0,21,41,581,3962,
2020-08-01,P09.0,2971,42,267,39,0,21,41,581,3962,P09
2020-08-01,P10,6039,157,477,65,0,6,0,1561,8305,
2020-08-01,P10.0,3643,24,121,29,0,6,0,1205,5028,P10
2020-08-01,P10.1,2395,133,356,36,0,0,0,356,3276,P10
2020-08-01,P10.3,1,0,0,0,0,0,0,0,1,P10
2020-09-01,P01,5716,101,2618,1058,0,497,150,1753,11893,
2020-09-01,P02,10069,90,1449,187,0,220,66,2629,14711,
2020-09-01,P03,14353,130,907,191,0,139,0,3686,19407,
2020-09-01,P04,16645,211,1314,271,0,275,0,4953,23670,
2020-09-01,P05,9692,182,1038,94,0,178,0,2559,13744,
2020-09-01,P05.0,5679,23,190,20,0,178,0,1999,8090,P05
2020-09-01,P05.1,1471,70,521,32,0,0,0,168,2262,P05
2020-09-01,P05.2,1068,43,99,18,0,0,0,134,1362,P05
2020-09-01,P05.3,75,0,21,0,0,0,0,10,106,P05
2020-09-01,P05.4,968,35,184,24,0,0,0,141,1352,P05
2020-09-01,P05.5,384,11,21,0,0,0,0,98,514,P05
2020-09-01,P05.6,47,0,2,0,0,0,0,9,58,P05
2020-09-01,P06,20298,189,1373,111,0,248,1,6571,28796,
2020-09-01,P07,9152,86,669,105,0,88,0,2158,12258,
2020-09-01,P08,11518,113,806,171,0,186,8,4174,16976,
2020-09-01,P08.0,4780,7,111,25,0,186,7,2327,7443,P08
2020-09-01,P08.1,1162,20,347,48,0,0,0,137,1714,P08
2020-09-01,P08.2,1231,23,132,72,0,0,1,180,1639,P08
2020-09-01,P08.3,4345,63,216,26,0,0,0,1530,6180,P08
2020-09-01,P09,3036,46,264,38,0,21,41,590,4036,
2020-09-01,P09.0,3036,46,264,38,0,21,41,590,4036,P09
2020-09-01,P10,8589,219,734,97,0,11,2,2341,11993,
2020-09-01,P10.0,5542,36,210,40,0,11,2,1924,7765,P10
2020-09-01,P10.1,3046,183,524,57,0,0,0,417,4227,P10
2020-09-01,P10.3,1,0,0,0,0,0,0,0,1,P10
2020-10-01,P01,5658,107,2599,981,0,448,149,1746,11688,
2020-10-01,P02,10037,92,1457,180,0,204,66,2650,14687,
2020-10-01,P03,14316,133,894,188,0,129,0,3686,19347,
2020-10-01,P04,16749,214,1312,272,0,259,0,4970,23777,
2020-10-01,P05,9348,166,1014,89,0,169,0,2548,13335,
2020-10-01,P05.0,5554,23,192,20,0,169,0,2010,7969,P05
2020-10-01,P05.1,1373,62,500,29,0,0,0,159,2123,P05
2020-10-01,P05.2,1033,42,101,17,0,0,0,130,1323,P05
2020-10-01,P05.3,68,0,21,0,0,0,0,10,99,P05
2020-10-01,P05.4,920,29,179,23,0,0,0,137,1288,P05
2020-10-01,P05.5,356,10,19,0,0,0,0,95,480,P05
2020-10-01,P05.6,44,0,2,0,0,0,0,7,53,P05
2020-10-01,P06,19641,192,1350,109,0,227,1,6506,28032,
2020-10-01,P07,9156,87,683,107,0,81,0,2160,12274,
2020-10-01,P08,11525,110,799,171,0,176,9,4181,16971,
2020-10-01,P08.0,4803,6,108,25,0,176,8,2327,7453,P08
2020-10-01,P08.1,1165,20,345,48,0,0,0,139,1717,P08
2020-10-01,P08.2,1234,23,134,73,0,0,1,179,1644,P08
2020-10-01,P08.3,4323,61,212,25,0,0,0,1536,6157,P08
2020-10-01,P09,3086,50,267,39,0,21,42,597,4102,
2020-10-01,P09.0,3086,50,267,39,0,21,42,597,4102,P09
2020-10-01,P10,12782,369,1081,162,0,14,4,3318,17730,
2020-10-01,P10.0,8174,60,283,53,0,14,4,2600,11188,P10
2020-10-01,P10.1,3223,203,554,66,0,0,0,441,4487,P10
2020-10-01,P10.3,1385,106,244,43,0,0,0,277,2055,P10
2020-11-01,P01,5542,99,2507,954,0,404,182,1741,11429,
2020-11-01,P02,9948,93,1448,179,0,188,65,2620,14542,
2020-11-01,P03,14234,131,904,164,0,121,0,3680,19235,
2020-11-01,P04,16753,205,1307,267,0,242,0,4967,23742,
2020-11-01,P05,9325,161,1010,87,0,161,0,2540,13285,
2020-11-01,P05.0,5573,22,193,21,0,161,0,2007,7978,P05
2020-11-01,P05.1,1362,58,498,28,0,0,0,159,2105,P05
2020-11-01,P05.2,1001,40,100,15,0,0,0,128,1284,P05
2020-11-01,P05.3,69,0,19,0,0,0,0,8,96,P05
2020-11-01,P05.4,917,31,179,23,0,0,0,137,1287,P05
2020-11-01,P05.5,359,10,18,0,0,0,0,94,481,P05
2020-11-01,P05.6,44,0,3,0,0,0,0,7,54,P05
2020-11-01,P06,19779,197,1351,131,0,206,1,6481,28152,
2020-11-01,P07,9078,86,671,102,0,71,0,2154,12162,
2020-11-01,P08,10986,104,758,92,0,164,10,4054,16168,
2020-11-01,P08.0,4606,7,97,25,0,164,9,2281,7189,P08
2020-11-01,P08.1,1115,19,331,26,0,0,0,133,1624,P08
2020-11-01,P08.2,1151,22,128,16,0,0,1,176,1494,P08
2020-11-01,P08.3,4114,56,202,25,0,0,0,1464,5861,P08
2020-11-01,P09,3118,51,268,39,0,21,42,627,4166,
2020-11-01,P09.0,3098,49,265,39,0,21,42,624,4138,P09
2020-11-01,P09.1,20,2,3,0,0,0,0,3,28,P09
2020-11-01,P10,14566,411,1230,196,0,17,4,3835,20259,
2020-11-01,P10.0,9161,66,315,58,0,17,4,2960,12581,P10
2020-11-01,P10.1,3266,202,576,71,0,0,0,448,4563,P10
2020-11-01,P10.2,646,28,71,25,0,0,0,130,900,P10
2020-11-01,P10.3,1493,115,268,42,0,0,0,297,2215,P10
2020-12-01,P01,5544,101,2492,889,0,374,183,1728,11311,
2020-12-01,P02,9943,95,1426,166,0,174,67,2640,14512,
2020-12-01,P03,14308,124,902,158,0,112,0,3684,19289,
2020-12-01,P04,16879,207,1293,258,0,230,0,5016,23884,
2020-12-01,P05,9365,160,1012,84,0,147,0,2541,13311,
2020-12-01,P05.0,5627,20,194,20,0,147,0,2005,8015,P05
2020-12-01,P05.1,1358,57,503,27,0,0,0,162,2107,P05
2020-12-01,P05.2,1004,42,97,13,0,0,0,130,1286,P05
