house_code,usek_code
21709556,P1-0585
21709564,P1-0584
21709581,P1-0585
21709599,P1-0585
21709611,P1-0585
21709629,P1-0585
21709637,P1-0585
21709645,P1-0585
21709653,P1-0585
21709670,P1-0585
21709688,P1-0572
21709696,P1-0572
21709700,P1-0572
21709718,P1-0572
21709726,P1-0572
21709742,P1-0572
21709769,P1-0573
21709777,P1-0573
21709785,P1-0577
21709793,P1-0577
21709807,P1-0577
21709815,P1-0577
21709823,P1-0577
21709831,P1-0577
21709858,P1-0577
21709866,P1-0573
21709891,P1-0575
21709912,P1-0575
21709921,P1-0575
21709947,P1-0575
21710007,P1-0571
21710023,P1-0571
21710040,P1-0571
21710066,P1-0564
21710074,P1-0565
21710082,P1-0564
21710104,P1-0561
21710112,P1-0572
21710147,P1-0560
21710171,P1-0561
21710198,P1-0560
21710201,P1-0611
21710210,P1-0611
21710228,P1-0582
21710244,P1-0582
21710252,P1-0582
21710261,P1-0582
21710279,P1-0582
21710287,P1-0582
21710317,P1-0582
21710325,P1-0582
21710333,P1-0582
21710341,P1-0582
21710350,P1-0582
21710376,P1-0582
21710384,P1-0582
21710392,P1-0582
21710406,P1-0553
21710422,P1-0560
21710449,P1-0582
21710457,P1-0552
21710465,P1-0552
21710473,P1-0551
21710481,P1-0551
21710490,P1-0556
21710503,P1-0556
21710511,P1-0548
21710520,P1-0548
21710546,P1-0556
21710554,P1-0561
21710589,P1-0556
21710601,P1-0570
21710635,P1-0627
21710651,P1-0557
21710660,P1-0556
21710686,P1-0556
21710775,P1-0551
21710783,P1-0551
21710791,P1-0552
21710856,P1-0582
21710881,P1-0553
21710911,P1-0450
21710929,P1-0449
21710945,P1-0384
21710961,P1-0427
21710970,P8-0101
21710988,P1-0472
21710996,P1-0461
21711046,P1-0428
21711054,P1-0447
21711062,P1-0478
21711071,P1-0464
21711089,P1-0384
21711097,P1-0427
21711101,P1-0447
21711119,P1-0450
21711143,P1-0478
21711151,P1-0427
21711160,P1-0449
21711178,P1-0401
21711194,P1-0401
21711216,P2-0221
21711224,P1-0478
21711232,P1-0483
21711267,P1-0449
21711275,P1-0450
21711283,P1-0590
21711305,P1-0428
21711321,P1-0427
21711330,P1-0464
21711348,P1-0464
21711356,P1-0450
21711364,P1-0450
21711381,P1-0483
21711399,P1-0450
21711402,P1-0450
21711429,P1-0450
21711437,P1-0481
21711453,P1-0564
21711470,P1-0450
21711488,P1-0450
21711496,P1-0453
21711518,P1-0443
21711526,P1-0551
21711534,P1-0430
21711542,P1-0476
21711551,P1-0415
21711569,P2-0221
21711577,P1-0427
21711585,P1-0427
21711593,P1-0387
21711607,P1-0415
21711615,P1-0415
21711623,P1-0415
21711631,P1-0450
21711640,P1-0450
21711666,P1-0600
21711674,P1-0485
21711682,P1-0485
21711712,P1-0585
21711721,P1-0464
21711747,P1-0553
21711755,P1-0401
21711798,P2-0104
21711801,P1-0483
21711810,P1-0464
21711828,P1-0464
21711852,P1-0486
21711879,P1-0428
21711887,P1-0428
21711909,P1-0384
21711925,P1-0572
21711941,P1-0387
21711968,P1-0450
21711976,P1-0483
21712026,P1-0565
21712042,P1-0406
21712051,P1-0384
21712077,P1-0415
21712107,P1-0476
21712115,P1-0476
21712123,P1-0476
21712140,P1-0427
21712174,P1-0453
21712182,P1-0431
21712204,P1-0431
21712212,P1-0431
21712221,P1-0584
21712239,P1-0476
21712271,P1-0405
21712298,P1-0405
21712301,P1-0386
21712328,P1-0386
21712336,P1-0486
21712344,P1-0430
21712352,P1-0584
21712361,P1-0584
21712387,P1-0483
21712395,P1-0453
21712409,P1-0464
21712417,P1-0428
21712425,P1-0582
21712450,P1-0447
21712468,P1-0557
21712476,P1-0553
21712484,P1-0405
21712492,P1-0405
21712549,P1-0571
21712557,P1-0553
21712565,P1-0571
21712573,P1-0428
21712581,P2-0201
21712603,P1-0472
21712611,P1-0483
21712620,P1-0466
21712638,P1-0466
21712646,P1-0466
21712689,P1-0455
21712701,P1-0453
21712727,P1-0455
21712735,P1-0455
21712751,P1-0457
21712760,P1-0585
21712794,P1-0498
21712808,P1-0415
21712824,P1-0453
21712832,P1-0449
21712841,P1-0449
21712867,P1-0461
21712875,P1-0443
21712891,P1-0466
21712905,P1-0466
21712930,P1-0468
21712948,P1-0470
21712972,P1-0464
21712981,P1-0405
21712999,P1-0471
21713006,P1-0472
21713014,P1-0470
21713031,P1-0472
21713057,P1-0462
21713065,P1-0462
21713081,P1-0462
21713090,P1-0468
21713103,P1-0472
21713120,P1-0428
21713146,P2-0221
21713154,P1-0545
21713162,P1-0403
21713189,P1-0390
21713201,P1-0559
21713235,P1-0471
21713251,P2-0221
21713260,P1-0401
21713278,P1-0401
21713308,P1-0581
21713316,P1-0582
21713324,P2-0221
21713332,P1-0453
21713359,P1-0443
21713367,P1-0472
21713413,P1-0440
21713421,P1-0470
21713430,P1-0470
21713448,P1-0591
21713456,P1-0381
21713464,P1-0591
21713481,P1-0464
21713499,P1-0453
21713502,P1-0590
21713511,P1-0590
21713529,P2-0201
21713537,P1-0405
21713553,P1-0450
21713561,P1-0575
21713588,P2-0201
21713596,P1-0405
21713600,P1-0405
21713626,P1-0427
21713634,P1-0387
21713642,P1-0387
21713669,P1-0386
21713685,P2-0230
21713707,P1-0415
21713715,P1-0415
21713723,P1-0427
21713731,P1-0401
21713740,P1-0402
21713766,P1-0391
21713774,P1-0391
21713782,P1-0427
21713812,P1-0440
21713839,P1-0569
21713855,P1-0569
21713871,P1-0570
21713898,P1-0565
21713901,P1-0415
21713928,P1-0573
21713936,P1-0573
21713944,P1-0582
21713952,P1-0582
21713961,P1-0575
21713979,P1-0586
21713987,P1-0486
21713995,P1-0462
21714002,P1-0415
21714011,P1-0399
21714029,P2-0201
21714037,P1-0449
21714045,P1-0449
21714053,P1-0481
21714053,P1-0478
21714061,P1-0478
21714061,P1-0481
21714088,P1-0430
21714096,P1-0430
21714100,P1-0575
21714126,P1-0548
21714142,P1-0406
21714151,P1-0586
21714169,P1-0403
21714177,P1-0449
21714185,P1-0613
21714193,P1-0397
21714207,P1-0399
21714215,P1-0399
21714223,P1-0399
21714231,P1-0399
21714240,P1-0582
21714258,P1-0602
21714266,P1-0602
21714274,P1-0446
21714282,P1-0428
21714291,P1-0428
21714321,P2-0101
21714339,P1-0545
21714347,P1-0483
21714355,P1-0431
21714363,P1-0551
21714398,P1-0428
21714401,P1-0472
21714410,P1-0472
21714444,P1-0419
21714452,P1-0402
21714461,P1-0556
21714479,P1-0411
21714487,P1-0500
21714495,P1-0416
21714509,P1-0572
21714517,P1-0416
21714533,P1-0405
21714541,P1-0390
21714568,P1-0387
21714576,P1-0582
21714592,P1-0559
21714606,P1-0557
21714614,P1-0553
21714622,P1-0387
21714631,P1-0387
21714649,P1-0556
21714657,P1-0559
21714665,P1-0611
21714681,P1-0440
21714690,P1-0486
21714720,P1-0518
21714746,P1-0607
21714754,P1-0319
21714762,P1-0518
21714886,P1-0518
21714932,P1-0518
21714959,P1-0518
21714983,P1-0518
21715009,P1-0518
21715009,P1-0319
21715017,P1-0278
21715025,P1-0278
21715041,P1-0278
21715050,P1-0286
21715076,P1-0319
21715084,P1-0319
21715114,P1-0281
21715131,P1-0281
21715149,P1-0281
21715157,P1-0281
21715173,P1-0281
21715181,P1-0281
21715190,P1-0309
21715211,P1-0309
21715220,P1-0309
21715246,P1-0309
21715254,P1-0308
21715319,P1-0220
21715408,P1-0307
21715416,P1-0309
21715424,P1-0308
21715475,P1-0309
21715491,P1-0310
21715505,P1-0310
21715513,P1-0310
21715521,P1-0310
21715548,P1-0310
21715556,P1-0310
21715572,P1-0309
21715581,P1-0309
